timestamp,event,event2,gluc_mmol_L,kh_g,Dauer (hh:mm:ss),delta_time_s
2025-12-05 07:46:27,EGV,,5.8,,,27987.0
2025-12-05 07:51:27,EGV,,6.5,,,28287.0
2025-12-05 07:56:26,EGV,,7.4,,,28586.0
2025-12-05 08:01:27,EGV,,7.7,,,28887.0
2025-12-05 08:06:26,EGV,,7.0,,,29186.0
2025-12-05 08:11:27,EGV,,6.5,,,29487.0
2025-12-05 08:16:26,EGV,,6.2,,,29786.0
2025-12-05 08:21:27,EGV,,5.4,,,30087.0
2025-12-05 08:26:27,EGV,,4.9,,,30387.0
2025-12-05 08:31:27,EGV,,4.6,,,30687.0
2025-12-05 08:36:26,EGV,,4.5,,,30986.0
2025-12-05 08:41:29,EGV,,4.8,,,31289.0
2025-12-05 08:46:26,EGV,,5.2,,,31586.0
2025-12-05 08:51:27,EGV,,5.2,,,31887.0
2025-12-05 08:56:26,EGV,,5.3,,,32186.0
2025-12-05 09:01:27,EGV,,5.3,,,32487.0
2025-12-05 09:06:27,EGV,,4.9,,,32787.0
2025-12-05 09:11:27,EGV,,5.4,,,33087.0
2025-12-05 09:16:27,EGV,,5.5,,,33387.0
2025-12-05 09:21:27,EGV,,5.5,,,33687.0
2025-12-05 09:26:26,EGV,,5.7,,,33986.0
2025-12-05 09:31:26,EGV,,5.8,,,34286.0
2025-12-05 09:36:27,EGV,,5.9,,,34587.0
2025-12-05 09:41:27,EGV,,5.9,,,34887.0
2025-12-05 09:46:27,EGV,,5.5,,,35187.0
2025-12-05 09:51:27,EGV,,5.7,,,35487.0
2025-12-05 09:56:27,EGV,,5.4,,,35787.0
2025-12-05 10:01:26,EGV,,5.2,,,36086.0
2025-12-05 10:06:26,EGV,,5.0,,,36386.0
2025-12-05 10:11:27,EGV,,5.0,,,36687.0
2025-12-05 10:16:27,EGV,,5.3,,,36987.0
2025-12-05 10:21:26,EGV,,5.3,,,37286.0
2025-12-05 10:26:27,EGV,,5.3,,,37587.0
2025-12-05 10:31:27,EGV,,5.4,,,37887.0
2025-12-05 10:36:26,EGV,,5.4,,,38186.0
2025-12-05 10:41:29,EGV,,5.5,,,38489.0
2025-12-05 10:46:26,EGV,,5.5,,,38786.0
2025-12-05 10:51:27,EGV,,5.6,,,39087.0
2025-12-05 10:56:27,EGV,,5.7,,,39387.0
2025-12-05 11:01:26,EGV,,5.7,,,39686.0
2025-12-05 11:06:27,EGV,,5.5,,,39987.0
2025-12-05 11:11:27,EGV,,5.8,,,40287.0
2025-12-05 11:16:26,EGV,,5.8,,,40586.0
2025-12-05 11:21:26,EGV,,5.8,,,40886.0
2025-12-05 11:26:27,EGV,,5.7,,,41187.0
2025-12-05 11:31:27,EGV,,5.8,,,41487.0
2025-12-05 11:36:26,EGV,,5.8,,,41786.0
2025-12-05 11:41:27,EGV,,5.4,,,42087.0
2025-12-05 11:46:26,EGV,,5.5,,,42386.0
2025-12-05 11:51:26,EGV,,5.4,,,42686.0
2025-12-05 11:56:26,EGV,,5.5,,,42986.0
2025-12-05 12:01:26,EGV,,5.4,,,43286.0
2025-12-05 12:06:26,EGV,,5.6,,,43586.0
2025-12-05 12:11:27,EGV,,5.2,,,43887.0
2025-12-05 12:16:26,EGV,,5.3,,,44186.0
2025-12-05 12:21:26,EGV,,5.2,,,44486.0
2025-12-05 12:26:26,EGV,,5.1,,,44786.0
2025-12-05 12:31:27,EGV,,5.2,,,45087.0
2025-12-05 12:36:26,EGV,,5.3,,,45386.0
2025-12-05 12:41:27,EGV,,5.4,,,45687.0
2025-12-05 12:46:29,EGV,,5.6,,,45989.0
2025-12-05 12:51:26,EGV,,5.8,,,46286.0
2025-12-05 12:56:26,EGV,,6.3,,,46586.0
2025-12-05 13:01:26,EGV,,6.6,,,46886.0
2025-12-05 13:06:26,EGV,,6.5,,,47186.0
2025-12-05 13:11:27,EGV,,6.4,,,47487.0
